,0
32,@PregoneroL @MiguelPichetto acá un cabeza de termo que apoya a quien TOMÓ LA MAYOR DEUDA de TODA LA HISTORIA ARGENTINA y del FMI para FUGARLA entre muchos otros desfalcos llámese a silencio cachivache !!!
33,@muy_osco @jlespert @MiguelPichetto Se ganó mis respeto dice y se fue al desgobierno que TOMÓ LA MAYOR DEUDA de TODA LA HISTORIA ARGENTINA y del FMI para FUGARLA entre muchos otros desfalcos jajajajaja llámense a silencio cachivaches !!!
34,"@RicardoAronski1 @rogeliomarin13 @visionpaisarg @LaTeclaEne La cuestión es: pagar o no pagar. Nestor no pagó al FMI y no pasó nada. Argentina creció a ""tasas chinas"". Ya lo vivimos desde 2002 hasta 2005.
Además ahora juegan Rusia y China, cosa que no pasaba en 2005.
Hasta políticamente es mejor no pagar..."
35,"Sabino Vaca Narvaja, embajador en China:
“Tenemos q cerrar c el FMI de la mejor manera, a nadie le sirve q el acuerdo se dilate”
El diplomático descarta que el gobierno de #XiJinping salga al rescate de #Argentina frente a la negociación d la deuda https://t.co/9pamKL7Fru"
36,"@pedrorocha22a @marcelopueIIaok Esta respuesta define a lo que se llama cabeza de termo .
 Esa foto define lo peor que le pasó a la democracia Argentina y está quien TOMÓ LA MAYOR DEUDA de TODA LA HISTORIA ARGENTINA y del FMI para FUGARLA entre muchos otros desfalcos llámese a silencio cachivache !!!"
37,"HELLER: “ARGENTINA TIENE QUE SEGUIR NEGOCIANDO CON FIRMEZA CON EL FMI"": El diputado nacional ... @eldestape_radio https://t.co/yBSu4URvQo"
38,"El presidente Alberto Fernández afirmó este lunes que el FMI debe contemplar el ""derecho a crecer como nosotros queremos crecer"" en las negociaciones que la Argentina lleva adelante con el organismo para acordar un nuevo programa de financiamiento https://t.co/B1jqc6WJCz https://t.co/GAh1KdLDQZ"
39,"Reapareció #Fernández
Reconoció q el #FMI pide un ajuste mayor a #Argentina
“Nosotros queremos tener derecho a crecer como creemos q debemos crecer” dijo en un acto q compartió con el jefe de Gabinete #Manzur
-
Y si probamos gastando menos $ al cuete, algo llamado Gasto Fiscal ? https://t.co/s2rIuSumRK"
40,"Argentina recibe a nuevo embajador de EE.UU. en medio de acuerdos con el FMI
https://t.co/2DIlxlvRBa https://t.co/2pvZfAKWkl"
41,La plata está ¿pero qué pretende la Argentina antes de pagarle al FMI?  https://t.co/eAUV532rJC
42,"@jotaalonso Creo que al FMI el rechazo del Presupuesto 2022 le vino como anillo al dedo. Ello le da motivo establecer que Argentina no pagará y de esa forma presionar con sus recetas de ajuste y hambre. El Gobierno, no debe ceder e investigar al endeudador y a los fugadores."
43,"El acuerdo con el FMI no soluciona nada importante en la economía argentina, al contrario, es recesivo, pero te evita una espiralizacion de expectativas. Sin el acuerdo con el FMI, dolar e inflación no tienen techo y este gobierno quizás no llegue a 2023."
44,Argentina y el FMI https://t.co/HiegicMQc4
45,"""La titular del FMI, Christine Lagarde, felicitó personalmente al ministro de Hacienda, Nicolás Dujovne, y al presidente del Banco Central, Guido Sandleris, por la aplicación de las políticas que ayudaron a 'estabilizar' la economía argentina""."
46,"@drjorgerachid QUE RIDICULEZ LO QUE DICE
LA ARGENTINA PIDIO PLATA AL.FONDO ANTES DE MM
RELATO ESTUPIDO
NK TOMO DEUDA C VENEZUELA A MAS TASA Y SE LLEVO UNOS MILLONES DESPEJANDO AL FMI PARA QUE NO REVISE SUS CUENTAS
SIGUEN AVALANDO A LOS K
POR.FAVOR 
QUIEN LES CREE EL RELATO"
47,"#Argentina 
@visionpaisarg 
@LaTeclaEne 

📢📢
Dejar de crecer por diez años. @RicardoAronski1 advierte en esta nota sobre la #grave situación que el #gobierno ha expuesto en relación a las negociaciones con el #FMI, que plantean una seria encrucijada #histórica. https://t.co/Beph9clm8C"
48,"Paradoja de la economía #Argentina 🇦🇷 : bajó la deuda con el FMI pero nos endeudamos más con el mercado (Tue, 25 Jan 2022 07:00:00 +0000) https://t.co/KDrGu69JUR ➡Fuente @agrositio"
49,"Las consecuencias ""sin retorno"" que podrían costarle a la #Argentina no cumplir con el pago al FMI
https://t.co/2pNp1l0nUr"
50,"La percepción pública sobre el FMI en Argentina es razonablemente pésima, lo que explica por qué Macri cerró el acuerdo a espaldas del pueblo y lo anunció en una cadena nacional de 30 segundos. Amerita al menos una cadena seria para explicar la gravedad de la situación."
51,"@madorni Eso comenzara en Marzo, cuando la Argentina no pague al FMI"
52,"@vikingomaldo ¿Sabés por qué Argentina siempre termina en el FMI? Porque sobran vivos que se dan la gran vida con la nuestra, como vos. Vos sos parte del problema, mientras te la das de revolucionario en twitter."
